tourney_date,surface,winner1_id,winner2_id,loser1_id,loser2_id
2017-08-07,Hard,103594,106207,105573,105188.0
2017-08-07,Hard,105732,103917,103184,103185.0
2017-08-07,Hard,103523,104471,104792,105332.0
2017-08-07,Hard,104071,104330,104802,104273.0
2017-08-07,Hard,105732,103917,103594,106207.0
2017-08-07,Hard,103523,104471,104071,104330.0
2017-08-07,Hard,105732,103917,103523,104471.0
2017-08-14,Hard,105138,103970,103893,105077.0
2017-08-14,Hard,105992,105030,105449,102110.0
2017-08-14,Hard,103852,104043,102233,100644.0
2017-08-14,Hard,104802,104273,104545,105385.0
2017-08-14,Hard,103828,104486,111577,111578.0
2017-08-14,Hard,105807,104269,111575,106233.0
2017-08-14,Hard,108701,104926,106058,138550.0
2017-08-14,Hard,106043,104999,105254,103529.0
2017-08-14,Hard,105992,105030,103594,106207.0
2017-08-14,Hard,103184,103185,103852,104043.0
2017-08-14,Hard,105732,103917,104802,104273.0
2017-08-14,Hard,103828,104486,104071,104330.0
2017-08-14,Hard,104679,103946,105807,104269.0
2017-08-14,Hard,103523,104471,108701,104926.0
2017-08-14,Hard,103997,104249,106043,104999.0
2017-08-14,Hard,105992,105030,105573,105188.0
2017-08-14,Hard,105732,103917,103184,103185.0
2017-08-14,Hard,104679,103946,103828,104486.0
