tourney_date,surface,winner1_name,winner1_id,winner2_name,winner2_id,loser1_name,loser1_id,loser2_name,loser2_id
2018-06-11,Grass,Philipp Petzschner,104332,Tim Puetz,105047,Aisam Ul Haq Qureshi,103529,Jean Julien Rojer,103828
2018-06-11,Grass,Robert Lindstedt,102963,Marcin Matkowski,103690,Marton Fucsovics,105916,Mischa Zverev,104999
2018-06-11,Grass,Dominic Inglot,104693,Franco Skugor,105015,Raven Klaasen,104071,Michael Venus,105030
2018-06-11,Grass,Philipp Petzschner,104332,Tim Puetz,105047,Robert Lindstedt,102963,Marcin Matkowski,103690
2018-06-18,Grass,Lukasz Kubot,103997,Marcelo Melo,104249,Jonathan Erlich,102968,Nicholas Monroe,103977
2018-06-18,Grass,Max Mirnyi,103018,Philipp Oswald,104667,Marcin Matkowski,103690,Matwe Middelkoop,104235
2018-06-18,Grass,Ivan Dodig,104471,Rajeev Ram,104330,Karen Khachanov,111575,Lucas Pouille,106298
2018-06-18,Grass,Marcel Granollers,104719,Robin Haase,104898,Ben Mclachlan,110758,Kei Nishikori,105453
2018-06-18,Grass,Tim Puetz,105047,Jan Lennard Struff,105526,Raven Klaasen,104071,Michael Venus,105030
2018-06-18,Grass,Alexander Zverev,100644,Mischa Zverev,104999,Aisam Ul Haq Qureshi,103529,Jean Julien Rojer,103828
2018-06-18,Grass,Dominic Inglot,104693,Franco Skugor,105015,Steve Johnson,105449,Dominic Thiem,106233
2018-06-18,Grass,Nikola Mektic,105254,Alexander Peya,103580,Philipp Kohlschreiber,104259,Philipp Petzschner,104332
2018-06-18,Grass,Andre Begemann,104398,Dustin Brown,104460,Divij Sharan,104690,Artem Sitak,104677
2018-06-18,Grass,Jonathan Erlich,102968,Nicholas Monroe,103977,Benoit Paire,105332,Andreas Seppi,104312
2018-06-18,Grass,Oliver Marach,103594,Mate Pavic,106207,Feliciano Lopez,103852,Marc Lopez,104043
2018-06-18,Grass,Rohan Bopanna,103523,Edouard Roger Vasselin,104273,Kevin Anderson,104731,Julien Benneteau,103898
2018-06-18,Grass,Jamie Murray,104679,Bruno Soares,103946,Adrian Mannarino,105173,Fabrice Martin,104802
2018-06-18,Grass,Marcus Daniell,105428,Wesley Koolhof,105323,Novak Djokovic,104925,Stanislas Wawrinka,104527
2018-06-18,Grass,Kyle Edmund,106378,Neal Skupski,105439,Grigor Dimitrov,105777,Ryan Harrison,105992
2018-06-18,Grass,Lleyton Hewitt,103720,Nick Kyrgios,106401,Pierre Hugues Herbert,105732,Nicolas Mahut,103917
2018-06-18,Grass,Mike Bryan,103185,Jack Sock,106058,Santiago Gonzalez,104136,Sam Querrey,105023
2018-06-18,Grass,Henri Kontinen,105573,John Peers,105188,Daniel Nestor,102110,Denis Shapovalov,133430
2018-06-18,Grass,Marius Copil,105657,Ken Skupski,104159,Marcus Daniell,105428,Wesley Koolhof,105323
2018-06-18,Grass,Daniel Nestor,102110,Denis Shapovalov,133430,Marcelo Demoliner,105269,Leonardo Mayer,104919
2018-06-18,Grass,Lukasz Kubot,103997,Marcelo Melo,104249,Max Mirnyi,103018,Philipp Oswald,104667
