game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
2615, Ana Paula Henkel, Larissa Franca, Alexandra Moiseeva, Natalya Uryadova, 1649.873, 1511.026, 0.6155
2616, Natalie Cook, Tamsin Hinchley, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 1786.870, 1537.330, 0.8048
2617, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Alexandra Moiseeva, Natalya Uryadova, 1541.048, 1505.675, 0.5378
2618, Natalie Cook, Tamsin Hinchley, Ana Paula Henkel, Larissa Franca, 1789.442, 1612.704, 0.6875
2619, Chen Xue, Xi Zhang, Judith Augoustides, Vitalina Nel, 1865.286, 1362.018, 0.9468
2620, Laura Ludwig, Sara Niedrig, Efthalia Koutroumanidou, Maria Tsiartsiani, 1724.230, 1573.536, 0.6984
2621, Chen Xue, Xi Zhang, Efthalia Koutroumanidou, Maria Tsiartsiani, 1866.393, 1572.327, 0.8428
2622, Laura Ludwig, Sara Niedrig, Judith Augoustides, Vitalina Nel, 1725.125, 1356.395, 0.8894
2623, Efthalia Koutroumanidou, Maria Tsiartsiani, Judith Augoustides, Vitalina Nel, 1573.963, 1345.590, 0.7761
2624, Chen Xue, Xi Zhang, Laura Ludwig, Sara Niedrig, 1868.529, 1722.610, 0.6928
2625, Elaine Youngs, Nicole Branagh, Merel Mooren, Rebekka Kadijk, 1896.731, 1518.307, 0.8971
2626, Okka Rau, Stephanie Pohl, Imara Esteves Ribalta, Milagros Crespo, 1693.187, 1612.745, 0.6049
2627, Elaine Youngs, Nicole Branagh, Imara Esteves Ribalta, Milagros Crespo, 1898.182, 1611.436, 0.8368
2628, Okka Rau, Stephanie Pohl, Merel Mooren, Rebekka Kadijk, 1695.373, 1514.924, 0.7324
2629, Imara Esteves Ribalta, Milagros Crespo, Merel Mooren, Rebekka Kadijk, 1614.303, 1510.397, 0.6354
2630, Elaine Youngs, Nicole Branagh, Okka Rau, Stephanie Pohl, 1900.267, 1693.441, 0.7627
2631, Renata Ribeiro, Talita Antunes, Bibiana Candelas, Mayra Garcia, 1832.629, 1587.216, 0.8009
2632, Doris Schwaiger, Stefanie Schwaiger, Vasiliki Arvaniti, Vasso Karadassiou, 1562.971, 1724.507, 0.2694
2633, Renata Ribeiro, Talita Antunes, Doris Schwaiger, Stefanie Schwaiger, 1833.766, 1561.529, 0.8252
2634, Bibiana Candelas, Mayra Garcia, Vasiliki Arvaniti, Vasso Karadassiou, 1595.150, 1719.164, 0.3121
2635, Doris Schwaiger, Stefanie Schwaiger, Bibiana Candelas, Mayra Garcia, 1565.952, 1588.941, 0.4518
2636, Renata Ribeiro, Talita Antunes, Vasiliki Arvaniti, Vasso Karadassiou, 1835.957, 1716.528, 0.6592
2637, Liesbet Van Breedam, Liesbeth Mouha, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 1606.079, 1537.752, 0.5873
2638, Ingrid Torlen, Nila Ann Hakedal, Bibiana Candelas, Mayra Garcia, 1614.165, 1583.712, 0.5300
2639, Jia Tian, Jie Wang, Ingrid Torlen, Nila Ann Hakedal, 1868.225, 1612.419, 0.8107
2640, Doris Schwaiger, Stefanie Schwaiger, Laura Ludwig, Sara Niedrig, 1571.674, 1716.849, 0.2887
2641, Elaine Youngs, Nicole Branagh, Dalixia Fernandez Grasset, Tamara Larrea Peraza, 1901.620, 1603.878, 0.8453
2642, Chen Xue, Xi Zhang, Imara Esteves Ribalta, Milagros Crespo, 1869.832, 1612.819, 0.8121
2643, Natalie Cook, Tamsin Hinchley, Efthalia Koutroumanidou, Maria Tsiartsiani, 1791.574, 1572.269, 0.7756
2644, Renata Ribeiro, Talita Antunes, Kathrine Maaseide, Susanne Glesnes, 1837.247, 1595.010, 0.7986
2645, Ana Paula Henkel, Larissa Franca, Okka Rau, Stephanie Pohl, 1675.606, 1689.147, 0.3859
2646, Kerri Walsh Jennings, Misty May-Treanor, Liesbet Van Breedam, Liesbeth Mouha, 2141.087, 1605.681, 0.9559
2647, Jia Tian, Jie Wang, Doris Schwaiger, Stefanie Schwaiger, 1869.305, 1570.441, 0.8465
2648, Chen Xue, Xi Zhang, Elaine Youngs, Nicole Branagh, 1873.557, 1896.922, 0.4544
2649, Renata Ribeiro, Talita Antunes, Natalie Cook, Tamsin Hinchley, 1839.991, 1787.504, 0.5654
2650, Kerri Walsh Jennings, Misty May-Treanor, Ana Paula Henkel, Larissa Franca, 2142.218, 1669.226, 0.9358
2651, Jia Tian, Jie Wang, Chen Xue, Xi Zhang, 1872.817, 1870.127, 0.4939
