game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
4997, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Hana Skalnikova, Lenka Hajeckova, 3457.336, 3241.343, 0.7215
4998, Juliana Felisberta, Larissa Franca, Hana Skalnikova, Lenka Hajeckova, 4064.893, 3240.352, 0.9913
4999, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, Beata Galek, Kinga Kolosinska, 3460.070, 2814.573, 0.9755
5000, Juliana Felisberta, Larissa Franca, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 4068.202, 3456.762, 0.9702
5001, Hana Skalnikova, Lenka Hajeckova, Beata Galek, Kinga Kolosinska, 3248.682, 2806.242, 0.9206
5002, Maria Antonelli, Talita Antunes, Elisa Cella, Valeria Rosso, 3701.971, 3041.562, 0.9775
5003, Doris Schwaiger, Stefanie Schwaiger, Ilka Semmler, Katrin Holtwick, 3582.669, 3317.763, 0.7844
5004, Maria Antonelli, Talita Antunes, Doris Schwaiger, Stefanie Schwaiger, 3731.728, 3552.913, 0.6652
5005, Elisa Cella, Valeria Rosso, Ilka Semmler, Katrin Holtwick, 3122.159, 3237.166, 0.1694
5006, Ilka Semmler, Katrin Holtwick, Maria Antonelli, Talita Antunes, 3338.986, 3629.907, 0.0548
5007, Doris Schwaiger, Stefanie Schwaiger, Elisa Cella, Valeria Rosso, 3561.043, 3114.028, 0.9227
5008, Laura Ludwig, Sara Niedrig, Jana Kohler, Julia Sude, 3718.340, 3242.739, 0.9345
5009, Angie Akers, Tyra Turner, Maria Tsiartsiani, Vasiliki Arvaniti, 3357.008, 3305.473, 0.4328
5010, Angie Akers, Tyra Turner, Laura Ludwig, Sara Niedrig, 3447.509, 3627.839, 0.1111
5011, Maria Tsiartsiani, Vasiliki Arvaniti, Jana Kohler, Julia Sude, 3341.271, 3206.941, 0.5893
5012, Laura Ludwig, Sara Niedrig, Maria Tsiartsiani, Vasiliki Arvaniti, 3643.574, 3325.537, 0.8388
5013, Angie Akers, Tyra Turner, Jana Kohler, Julia Sude, 3466.525, 3187.924, 0.7998
5014, Chen Xue, Xi Zhang, Liesbet Van Breedam, Liesbeth Mouha, 3637.117, 3249.998, 0.8909
5015, Kristyna Kolocova, Marketa Slukova, Angela Lavalle, Vanilda Leao, 3428.084, 3342.120, 0.4990
5016, Chen Xue, Xi Zhang, Kristyna Kolocova, Marketa Slukova, 3658.634, 3406.566, 0.7691
5017, Angela Lavalle, Vanilda Leao, Liesbet Van Breedam, Liesbeth Mouha, 3374.699, 3217.420, 0.6296
5018, Chen Xue, Xi Zhang, Angela Lavalle, Vanilda Leao, 3674.545, 3358.788, 0.8368
5019, Kristyna Kolocova, Marketa Slukova, Liesbet Van Breedam, Liesbeth Mouha, 3429.766, 3194.220, 0.7482
5020, April Ross, Jennifer Kessy, Anastasia Barsuk, Ekaterina Birlova, 3640.088, 3187.851, 0.9250
5021, Nadine Zumkehr, Simone Kuhn, Brooke Niles, Lauren Fendrick, 3393.559, 3118.069, 0.7964
5022, Brooke Niles, Lauren Fendrick, April Ross, Jennifer Kessy, 3221.593, 3536.564, 0.0472
5023, Anastasia Barsuk, Ekaterina Birlova, Nadine Zumkehr, Simone Kuhn, 3259.069, 3322.341, 0.2343
5024, Nadine Zumkehr, Simone Kuhn, April Ross, Jennifer Kessy, 3394.730, 3464.176, 0.2256
5025, Anastasia Barsuk, Ekaterina Birlova, Brooke Niles, Lauren Fendrick, 3297.772, 3182.890, 0.5537
5026, Becchara Palmer, Louise Bawden, Misty May-Treanor, Nicole Branagh, 3374.148, 3525.416, 0.1341
5027, Emilia Nystrom, Erika Nystrom, Carolina Salgado, Maria Clara Salgado, 3290.909, 3292.913, 0.3330
5028, Misty May-Treanor, Nicole Branagh, Emilia Nystrom, Erika Nystrom, 3544.897, 3271.428, 0.7941
5029, Becchara Palmer, Louise Bawden, Carolina Salgado, Maria Clara Salgado, 3407.899, 3259.162, 0.6148
5030, Carolina Salgado, Maria Clara Salgado, Misty May-Treanor, Nicole Branagh, 3340.957, 3463.101, 0.1618
5031, Emilia Nystrom, Erika Nystrom, Becchara Palmer, Louise Bawden, 3332.965, 3346.361, 0.3131
5032, Annie Martin, Marie-Andree Lessard, Barbara Hansel, Sara Montagnolli, 3267.807, 3432.894, 0.1226
5033, Elsa Baquerizo, Liliana Fernandez, Karolina Marciniak, Monika Brzostek, 3318.565, 2833.415, 0.9380
5034, Elsa Baquerizo, Liliana Fernandez, Barbara Hansel, Sara Montagnolli, 3377.006, 3374.453, 0.3412
5035, Annie Martin, Marie-Andree Lessard, Karolina Marciniak, Monika Brzostek, 3275.794, 2825.428, 0.9242
5036, Barbara Hansel, Sara Montagnolli, Karolina Marciniak, Monika Brzostek, 3378.906, 2820.975, 0.9593
5037, Elsa Baquerizo, Liliana Fernandez, Annie Martin, Marie-Andree Lessard, 3408.624, 3244.176, 0.6417
5038, Greta Cicolari, Marta Menegatti, Marleen Van Iersel, Sanne Keizer, 3152.141, 3251.769, 0.1868
