game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
8151, Taiana Lima, Talita Antunes, Emilia Nystrom, Erika Nystrom, 3386.029, 3137.462, 0.8041
8152, Kira Walkenhorst, Laura Ludwig, Ana Gallay, Georgina Klug, 3310.041, 2904.646, 0.9019
8153, Taiana Lima, Talita Antunes, Kira Walkenhorst, Laura Ludwig, 3389.605, 3301.473, 0.6076
8154, Ana Gallay, Georgina Klug, Emilia Nystrom, Erika Nystrom, 3034.110, 3132.756, 0.2075
8155, Madelein Meppelink, Sophie van Gestel, Jamie Broder, Kristina May, 3320.909, 2955.442, 0.8877
8156, Doris Schwaiger, Stefanie Schwaiger, Dominika Nestarcova, Natalia Dubovcova, 3301.834, 3128.496, 0.7199
8157, Dominika Nestarcova, Natalia Dubovcova, Madelein Meppelink, Sophie van Gestel, 3149.271, 3311.815, 0.2483
8158, Doris Schwaiger, Stefanie Schwaiger, Jamie Broder, Kristina May, 3302.469, 2950.234, 0.8802
8159, Doris Schwaiger, Stefanie Schwaiger, Madelein Meppelink, Sophie van Gestel, 3305.196, 3305.533, 0.4866
8160, Dominika Nestarcova, Natalia Dubovcova, Jamie Broder, Kristina May, 3155.644, 2940.331, 0.7587
8161, Greta Cicolari, Marta Menegatti, Jolien Sinnema, Michelle Stiekema, 3395.267, 3026.033, 0.8904
8162, Brooke Sweat, Jennifer Fopma, Elsa Baquerizo, Liliana Fernandez, 3145.657, 3266.515, 0.2863
8163, Brooke Sweat, Jennifer Fopma, Greta Cicolari, Marta Menegatti, 3180.944, 3387.500, 0.1920
8164, Jolien Sinnema, Michelle Stiekema, Elsa Baquerizo, Liliana Fernandez, 3056.541, 3259.362, 0.2003
8165, Greta Cicolari, Marta Menegatti, Elsa Baquerizo, Liliana Fernandez, 3390.674, 3256.421, 0.6765
8166, Brooke Sweat, Jennifer Fopma, Jolien Sinnema, Michelle Stiekema, 3194.277, 3044.937, 0.6718
8167, Barbara Seixas, Liliane Maestrini, Anni Schumacher, Jana Kohler, 3408.283, 3069.772, 0.8710
8168, Ilka Semmler, Katrin Holtwick, Irina Tsimbalova, Tatyana Mashkova, 3321.755, 2890.421, 0.9215
8169, Barbara Seixas, Liliane Maestrini, Irina Tsimbalova, Tatyana Mashkova, 3409.222, 2888.689, 0.9517
8170, Ilka Semmler, Katrin Holtwick, Anni Schumacher, Jana Kohler, 3323.060, 3063.638, 0.8101
8171, Ilka Semmler, Katrin Holtwick, Barbara Seixas, Liliane Maestrini, 3327.317, 3397.414, 0.3785
8172, Irina Tsimbalova, Tatyana Mashkova, Anni Schumacher, Jana Kohler, 2913.305, 3041.324, 0.2675
8173, Carolina Salgado, Maria Clara Salgado, Barbara Hansel, Katharina Schutzenhofer, 3352.363, 3164.900, 0.7319
8174, April Ross, Kerri Walsh Jennings, Jantine van der Vlist, Marloes Wesselink, 3660.719, 3069.692, 0.9676
8175, Carolina Salgado, Maria Clara Salgado, Jantine van der Vlist, Marloes Wesselink, 3353.214, 3067.489, 0.8358
8176, April Ross, Kerri Walsh Jennings, Barbara Hansel, Katharina Schutzenhofer, 3661.403, 3162.538, 0.9455
8177, April Ross, Kerri Walsh Jennings, Carolina Salgado, Maria Clara Salgado, 3663.226, 3352.462, 0.8550
