game, current_winner1, current_winner2, current_loser1, current_loser2, winner_mean, loser_mean, phat
128, Ingrid Torlen, Nila Ann Hakedal, Ilka Semmler, Katrin Holtwick, 1626.723, 1575.647, 0.5028
129, Sabine Swoboda, Sara Montagnolli, Merel Mooren, Rebekka Kadijk, 1521.481, 1432.321, 0.5661
130, Chiaki Kusuhara, Mika Teru Saiki, Dalixia Fernandez Grasset, Tamara Larrea Peraza, 1601.209, 1457.974, 0.6510
131, Chen Xue, Xi Zhang, Annie Martin, Dana Cooke, 1578.263, 1525.236, 0.5061
132, Renata Ribeiro, Talita Antunes, Liesbet Van Breedam, Liesbeth Mouha, 1621.302, 1482.246, 0.6448
133, Laura Ludwig, Sara Niedrig, Morgane Faure, Virginie Sarpaux, 1572.720, 1480.700, 0.5708
134, Emilia Nystrom, Erika Nystrom, Imara Esteves Ribalta, Milagros Crespo, 1501.255, 1427.884, 0.5401
135, Adriana Behar, Shelda Bede, Daniela Gioria, Lucilla Perrotta, 1526.680, 1501.025, 0.4602
136, Okka Rau, Stephanie Pohl, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 1525.976, 1491.983, 0.4742
137, Kathrine Maaseide, Susanne Glesnes, Efthalia Koutroumanidou, Maria Tsiartsiani, 1529.143, 1506.956, 0.4544
138, Vasiliki Arvaniti, Vasso Karadassiou, Hana Skalnikova, Tereza Petrova, 1521.481, 1432.321, 0.5661
139, Jia Tian, Jie Wang, Hui Yu Phang, Shiang Theng Tan, 1650.176, 1484.096, 0.6842
140, Juliana Felisberta, Larissa Franca, Doris Schwaiger, Stefanie Schwaiger, 1556.383, 1528.188, 0.4645
141, Hella Jurich, Rieke Brink-Abeler, Marie-Andree Lessard, Sarah Maxwell, 1558.939, 1526.001, 0.4724
142, Ingrid Torlen, Nila Ann Hakedal, Sabine Swoboda, Sara Montagnolli, 1644.373, 1503.831, 0.6470
143, Chen Xue, Xi Zhang, Chiaki Kusuhara, Mika Teru Saiki, 1604.599, 1574.873, 0.4670
144, Renata Ribeiro, Talita Antunes, Laura Ludwig, Sara Niedrig, 1642.622, 1551.400, 0.5695
145, Adriana Behar, Shelda Bede, Emilia Nystrom, Erika Nystrom, 1549.585, 1478.350, 0.5365
146, Okka Rau, Stephanie Pohl, Kathrine Maaseide, Susanne Glesnes, 1550.893, 1504.227, 0.4954
147, Jia Tian, Jie Wang, Vasiliki Arvaniti, Vasso Karadassiou, 1666.407, 1505.249, 0.6772
148, Juliana Felisberta, Larissa Franca, Hella Jurich, Rieke Brink-Abeler, 1581.256, 1534.065, 0.4963
149, Chen Xue, Xi Zhang, Ingrid Torlen, Nila Ann Hakedal, 1632.155, 1616.816, 0.4430
150, Renata Ribeiro, Talita Antunes, Adriana Behar, Shelda Bede, 1661.034, 1531.173, 0.6308
151, Jia Tian, Jie Wang, Okka Rau, Stephanie Pohl, 1683.428, 1533.872, 0.6604
152, Juliana Felisberta, Larissa Franca, Chen Xue, Xi Zhang, 1609.624, 1603.787, 0.4273
153, Jia Tian, Jie Wang, Renata Ribeiro, Talita Antunes, 1706.544, 1637.918, 0.5322
154, Natalie Cook, Tamsin Hinchley, Diane Pascua, Heidi Ilustre, 1548.945, 1516.066, 0.4723
155, Tatiana Barrera, Virginie Kadjo, Angelina Scanlon, Shuqin Wu, 1552.672, 1456.442, 0.5776
156, Merel Mooren, Rebekka Kadijk, Ilka Semmler, Katrin Holtwick, 1467.419, 1540.549, 0.3047
157, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Annie Martin, Dana Cooke, 1487.541, 1495.670, 0.4044
158, Morgane Faure, Virginie Sarpaux, Liesbet Van Breedam, Liesbeth Mouha, 1505.501, 1457.444, 0.4978
159, Imara Esteves Ribalta, Milagros Crespo, Daniela Gioria, Lucilla Perrotta, 1457.881, 1471.028, 0.3963
160, Efthalia Koutroumanidou, Maria Tsiartsiani, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 1530.590, 1468.349, 0.5215
161, Hana Skalnikova, Tereza Petrova, Hui Yu Phang, Shiang Theng Tan, 1460.754, 1455.664, 0.4260
162, Natalie Cook, Tamsin Hinchley, Vasiliki Arvaniti, Vasso Karadassiou, 1570.595, 1483.599, 0.5626
163, Kathrine Maaseide, Susanne Glesnes, Tatiana Barrera, Virginie Kadjo, 1532.416, 1524.483, 0.4307
164, Merel Mooren, Rebekka Kadijk, Emilia Nystrom, Erika Nystrom, 1492.890, 1452.878, 0.4843
165, Dalixia Fernandez Grasset, Tamara Larrea Peraza, Laura Ludwig, Sara Niedrig, 1516.858, 1522.083, 0.4091
166, Chiaki Kusuhara, Mika Teru Saiki, Morgane Faure, Virginie Sarpaux, 1594.809, 1485.565, 0.5985
167, Imara Esteves Ribalta, Milagros Crespo, Sabine Swoboda, Sara Montagnolli, 1485.888, 1475.824, 0.4343
168, Efthalia Koutroumanidou, Maria Tsiartsiani, Marie-Andree Lessard, Sarah Maxwell, 1554.956, 1501.635, 0.5066
169, Doris Schwaiger, Stefanie Schwaiger, Hana Skalnikova, Tereza Petrova, 1548.251, 1440.691, 0.5958
170, Natalie Cook, Tamsin Hinchley, Kathrine Maaseide, Susanne Glesnes, 1592.622, 1510.389, 0.5547
171, Merel Mooren, Rebekka Kadijk, Dalixia Fernandez Grasset, Tamara Larrea Peraza, 1519.300, 1490.448, 0.4656
172, Imara Esteves Ribalta, Milagros Crespo, Chiaki Kusuhara, Mika Teru Saiki, 1518.504, 1562.193, 0.3482
173, Doris Schwaiger, Stefanie Schwaiger, Efthalia Koutroumanidou, Maria Tsiartsiani, 1573.420, 1529.787, 0.4904
174, Ingrid Torlen, Nila Ann Hakedal, Natalie Cook, Tamsin Hinchley, 1639.807, 1569.631, 0.5348
175, Merel Mooren, Rebekka Kadijk, Hella Jurich, Rieke Brink-Abeler, 1545.047, 1508.319, 0.4788
176, Imara Esteves Ribalta, Milagros Crespo, Okka Rau, Stephanie Pohl, 1544.294, 1508.082, 0.4779
177, Adriana Behar, Shelda Bede, Doris Schwaiger, Stefanie Schwaiger, 1558.910, 1545.683, 0.4395
178, Ingrid Torlen, Nila Ann Hakedal, Merel Mooren, Rebekka Kadijk, 1658.110, 1526.743, 0.6331
179, Adriana Behar, Shelda Bede, Imara Esteves Ribalta, Milagros Crespo, 1582.569, 1520.634, 0.5210
180, Renata Ribeiro, Talita Antunes, Ingrid Torlen, Nila Ann Hakedal, 1664.056, 1631.973, 0.4710
181, Chen Xue, Xi Zhang, Adriana Behar, Shelda Bede, 1626.985, 1559.371, 0.5305
182, Renata Ribeiro, Talita Antunes, Juliana Felisberta, Larissa Franca, 1684.982, 1588.698, 0.5777
183, Jia Tian, Jie Wang, Chen Xue, Xi Zhang, 1725.817, 1607.712, 0.6125
184, Chen Xue, Xi Zhang, Juliana Felisberta, Larissa Franca, 1631.063, 1565.347, 0.5273
185, Renata Ribeiro, Talita Antunes, Jia Tian, Jie Wang, 1712.616, 1698.183, 0.4415
186, Ana Paula Henkel, Leila Barros, Carolina Salgado, Maria Clara Salgado, 1545.994, 1475.876, 0.5347
187, Miwa Asao, Takemi Nishibori, Miho Makabe, Sachie Oguri, 1520.845, 1452.195, 0.5322
188, Caroline Fiset, Isabelle Rancourt, Anouk Boileau, Marie-Christine Mondor, 1520.872, 1430.933, 0.5674
189, Isabelle Czerveniak, Sara Pothaar, Chelsea Grimson, Katherine Zakrzewski, 1480.011, 1467.309, 0.4386
190, Annie Martin, Dana Cooke, Andrezza "Rtvelo" Martins, Cristine "Saka" Santanna, 1518.443, 1445.575, 0.5392
191, Bibiana Candelas, Mayra Garcia, Tatiana Barrera, Virginie Kadjo, 1517.817, 1497.362, 0.4515
192, Eiko Koizumi, Shinako Tanaka, Diane Pascua, Heidi Ilustre, 1525.137, 1490.172, 0.4758
193, Marrit Leenstra, Sanne Keizer, Norma Escobedo Perez, Rosario Reyes, 1492.316, 1449.599, 0.4888
194, Clara Lozano, Nadia Campisi, Denise Johns, Lucy Boulton, 1517.995, 1457.538, 0.5186
195, Heike Jensen, Summer Lochowicz, Miwa Asao, Takemi Nishibori, 1527.875, 1494.792, 0.4727
196, Liesbet Van Breedam, Liesbeth Mouha, Jarunee Sannok, Usa Tenpaksee, 1483.396, 1449.112, 0.4747
197, Isabelle Forrer, Sarah Schmocker, Hiromi Suzuki, Satoko Urata, 1477.995, 1427.734, 0.5015
198, Marie-Andree Lessard, Sarah Maxwell, Isabelle Czerveniak, Sara Pothaar, 1524.804, 1456.842, 0.5311
199, Chiaki Kusuhara, Mika Teru Saiki, Becchara Palmer, Eileen Romanowski, 1582.271, 1474.909, 0.5955
200, Giulia Momoli, Lucilla Perrotta, Caroline Fiset, Isabelle Rancourt, 1526.186, 1494.686, 0.4700
201, Angelica Ljungquist, Karin Lundqvist, Kamoltip Kulna, Yupa Phokongploy, 1523.265, 1453.789, 0.5336
202, Ana Paula Henkel, Leila Barros, Annie Martin, Dana Cooke, 1568.752, 1495.686, 0.5396
203, Bibiana Candelas, Mayra Garcia, Eiko Koizumi, Shinako Tanaka, 1543.030, 1499.924, 0.4895
204, Marrit Leenstra, Sanne Keizer, Clara Lozano, Nadia Campisi, 1518.849, 1491.461, 0.4631
205, Linjun Ji, Ying Zhang, Heike Jensen, Summer Lochowicz, 1522.874, 1500.884, 0.4541
206, Lu Wang, Man Zuo, Liesbet Van Breedam, Liesbeth Mouha, 1544.827, 1461.460, 0.5566
207, Marie-Andree Lessard, Sarah Maxwell, Isabelle Forrer, Sarah Schmocker, 1546.244, 1456.556, 0.5670
208, Chiaki Kusuhara, Mika Teru Saiki, Giulia Momoli, Lucilla Perrotta, 1603.087, 1505.371, 0.5800
209, Efthalia Koutroumanidou, Maria Tsiartsiani, Angelica Ljungquist, Karin Lundqvist, 1554.016, 1499.036, 0.5094
210, Jia Tian, Jie Wang, Mi-Hwa Yu, Seol-Yi Kim, 1710.611, 1487.571, 0.7578
211, Doris Schwaiger, Stefanie Schwaiger, Sabine Swoboda, Sara Montagnolli, 1565.587, 1455.921, 0.5992
